@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
61,'2020/01/07 23:11:52:201',1,18.001122,152.161057,189.015656,241.587952,0.3,?,?,?
62,'2020/01/07 23:11:52:251',1,18.296419,151.781143,188.742325,241.932846,0.3,?,?,?
63,'2020/01/07 23:11:52:306',1,18.591717,151.401215,188.468994,242.27774,0.3,?,?,?
64,'2020/01/07 23:11:52:359',1,18.65666,151.08699,188.33165,242.480316,0.3,?,?,?
65,'2020/01/07 23:11:52:411',1,18.721603,150.772781,188.194305,242.682892,0.3,?,?,?
66,'2020/01/07 23:11:52:467',1,18.793049,150.478424,188.121567,242.854218,0.3,?,?,?
67,'2020/01/07 23:11:52:551',1,18.864494,150.184082,188.048828,243.025543,0.3,?,?,?
68,'2020/01/07 23:11:52:601',1,18.935942,149.889725,187.976089,243.196869,0.3,?,?,?
69,'2020/01/07 23:11:52:651',1,18.954905,150.74617,187.916702,242.338974,0.3,?,?,?
70,'2020/01/07 23:11:52:701',1,19.033768,151.405594,187.801559,241.650513,0.3,?,?,?
71,'2020/01/07 23:11:52:753',1,19.112631,152.065018,187.686432,240.962051,0.3,?,?,?
72,'2020/01/07 23:11:52:814',1,19.133978,152.49913,187.584686,240.497452,0.3,?,?,?
73,'2020/01/07 23:11:52:901',1,19.155327,152.933243,187.482941,240.032837,0.3,?,?,?
74,'2020/01/07 23:11:52:951',1,19.176674,153.367355,187.38121,239.568237,0.3,?,?,?
75,'2020/01/07 23:11:53:001',1,19.198023,153.801468,187.279465,239.103622,0.3,?,?,?
76,'2020/01/07 23:11:53:051',1,19.21937,154.23558,187.177719,238.639023,0.3,?,?,?
77,'2020/01/07 23:11:53:101',1,19.178406,154.228363,187.20607,238.666687,0.3,?,?,?
78,'2020/01/07 23:12:06:209',2,479.472168,60.911339,152.598648,279.424286,1,?,?,?
79,'2020/01/07 23:12:06:300',2,479.502594,60.777321,152.48259,279.522614,1,?,?,?
80,'2020/01/07 23:12:06:350',2,479.46109,60.817074,152.37149,279.593384,1,?,?,?
81,'2020/01/07 23:12:06:400',2,479.394073,60.859486,152.268845,279.589844,1,?,?,?
82,'2020/01/07 23:12:06:456',2,479.156067,60.756638,152.395767,279.655426,1,?,?,?
83,'2020/01/07 23:12:06:512',2,478.910034,60.580185,152.543716,279.805939,1,?,?,?
84,'2020/01/07 23:12:06:600',2,478.899963,60.437386,152.596802,280.013672,1,?,?,?
85,'2020/01/07 23:12:06:650',2,478.967102,60.326927,152.496323,280.058929,1,?,?,?
86,'2020/01/07 23:12:06:700',2,479.113556,60.365242,152.331909,279.958344,1,?,?,?
87,'2020/01/07 23:12:06:750',2,479.069641,60.342556,152.329681,280.035522,1,?,?,?
88,'2020/01/07 23:12:06:801',2,478.817535,60.352005,152.462433,280.10144,1,?,?,?
89,'2020/01/07 23:12:06:850',2,478.577515,60.388172,152.526764,280.159241,1,?,?,?
90,'2020/01/07 23:12:06:908',2,478.482574,60.444035,152.509598,280.101166,1,?,?,?
